source,month,window,rate_per_kwh_usd,import_kwh,import_cost_usd,n_homes_active,fleet_monthly_import_kwh,fleet_monthly_gross_import_usd,fleet_monthly_export_kwh,fleet_monthly_export_credit_usd,fleet_monthly_net_bill_usd
no_vic,2025-04,peak_am,0.370000,1582.486913,585.520158,134,13466.971225,4869.945144,15025.688607,1502.568861,3367.376283
no_vic,2025-04,peak_pm,0.450000,1810.059788,814.526904,134,13466.971225,4869.945144,15025.688607,1502.568861,3367.376283
no_vic,2025-04,midday,0.120000,1030.555971,123.666716,134,13466.971225,4869.945144,15025.688607,1502.568861,3367.376283
no_vic,2025-04,shoulder,0.370000,9043.868554,3346.231365,134,13466.971225,4869.945144,15025.688607,1502.568861,3367.376283
no_vic,2025-05,peak_am,0.370000,8902.996815,3294.108821,135,54507.837953,20229.209073,9561.805890,956.180589,19273.028484
no_vic,2025-05,peak_pm,0.450000,8294.243590,3732.409616,135,54507.837953,20229.209073,9561.805890,956.180589,19273.028484
no_vic,2025-05,midday,0.120000,2408.921829,289.070619,135,54507.837953,20229.209073,9561.805890,956.180589,19273.028484
no_vic,2025-05,shoulder,0.370000,34901.675720,12913.620016,135,54507.837953,20229.209073,9561.805890,956.180589,19273.028484
no_vic,2025-06,peak_am,0.370000,19278.099486,7132.896810,138,121027.386593,44795.277883,5621.566542,562.156654,44233.121228
no_vic,2025-06,peak_pm,0.450000,22070.458032,9931.706114,138,121027.386593,44795.277883,5621.566542,562.156654,44233.121228
no_vic,2025-06,midday,0.120000,7001.967197,840.236064,138,121027.386593,44795.277883,5621.566542,562.156654,44233.121228
no_vic,2025-06,shoulder,0.370000,72676.861878,26890.438895,138,121027.386593,44795.277883,5621.566542,562.156654,44233.121228
no_vic,2025-07,peak_am,0.370000,18243.746003,6750.186021,138,116001.075931,42947.216572,5946.247975,594.624797,42352.591775
no_vic,2025-07,peak_pm,0.450000,22247.801331,10011.510599,138,116001.075931,42947.216572,5946.247975,594.624797,42352.591775
no_vic,2025-07,midday,0.120000,7012.022516,841.442702,138,116001.075931,42947.216572,5946.247975,594.624797,42352.591775
no_vic,2025-07,shoulder,0.370000,68497.506082,25344.077250,138,116001.075931,42947.216572,5946.247975,594.624797,42352.591775
no_vic,2025-08,peak_am,0.370000,13031.332470,4821.593014,138,79795.806900,29666.714048,12654.346938,1265.434694,28401.279355
no_vic,2025-08,peak_pm,0.450000,12098.251789,5444.213305,138,79795.806900,29666.714048,12654.346938,1265.434694,28401.279355
no_vic,2025-08,midday,0.120000,3302.378590,396.285431,138,79795.806900,29666.714048,12654.346938,1265.434694,28401.279355
no_vic,2025-08,shoulder,0.370000,51363.844051,19004.622299,138,79795.806900,29666.714048,12654.346938,1265.434694,28401.279355
no_vic,2025-09,peak_am,0.370000,5128.036117,1897.373363,138,41848.700025,15159.780837,14689.310525,1468.931052,13690.849784
no_vic,2025-09,peak_pm,0.450000,5784.818088,2603.168140,138,41848.700025,15159.780837,14689.310525,1468.931052,13690.849784
no_vic,2025-09,midday,0.120000,3148.094479,377.771337,138,41848.700025,15159.780837,14689.310525,1468.931052,13690.849784
no_vic,2025-09,shoulder,0.370000,27787.751341,10281.467996,138,41848.700025,15159.780837,14689.310525,1468.931052,13690.849784
no_vic,2025-10,peak_am,0.370000,1605.302115,593.961783,138,26467.866344,9352.538328,31528.579359,3152.857936,6199.680393
no_vic,2025-10,peak_pm,0.450000,4598.427101,2069.292196,138,26467.866344,9352.538328,31528.579359,3152.857936,6199.680393
no_vic,2025-10,midday,0.120000,3233.785547,388.054266,138,26467.866344,9352.538328,31528.579359,3152.857936,6199.680393
no_vic,2025-10,shoulder,0.370000,17030.351580,6301.230085,138,26467.866344,9352.538328,31528.579359,3152.857936,6199.680393
no_vic,2025-11,peak_am,0.370000,1110.567039,410.909804,138,24037.538389,8367.593137,34880.501627,3488.050163,4879.542975
no_vic,2025-11,peak_pm,0.450000,4374.610773,1968.574848,138,24037.538389,8367.593137,34880.501627,3488.050163,4879.542975
no_vic,2025-11,midday,0.120000,3505.059714,420.607166,138,24037.538389,8367.593137,34880.501627,3488.050163,4879.542975
no_vic,2025-11,shoulder,0.370000,15047.300863,5567.501319,138,24037.538389,8367.593137,34880.501627,3488.050163,4879.542975
no_vic,2025-12,peak_am,0.370000,1121.691670,415.025918,138,24257.422362,8526.500591,61768.601368,6176.860137,2349.640454
no_vic,2025-12,peak_pm,0.450000,4418.100273,1988.145123,138,24257.422362,8526.500591,61768.601368,6176.860137,2349.640454
no_vic,2025-12,midday,0.120000,3208.774820,385.052978,138,24257.422362,8526.500591,61768.601368,6176.860137,2349.640454
no_vic,2025-12,shoulder,0.370000,15508.855599,5738.276572,138,24257.422362,8526.500591,61768.601368,6176.860137,2349.640454
no_vic,2026-01,peak_am,0.370000,668.748380,247.436900,138,19755.096590,7423.457869,83062.479095,8306.247910,-882.790040
no_vic,2026-01,peak_pm,0.450000,3980.273911,1791.123260,138,19755.096590,7423.457869,83062.479095,8306.247910,-882.790040
no_vic,2026-01,midday,0.120000,817.399127,98.087895,138,19755.096590,7423.457869,83062.479095,8306.247910,-882.790040
no_vic,2026-01,shoulder,0.370000,14288.675173,5286.809814,138,19755.096590,7423.457869,83062.479095,8306.247910,-882.790040
no_vic,2026-02,peak_am,0.370000,1073.276963,397.112476,138,19356.003612,7231.663569,58794.648010,5879.464801,1352.198768
no_vic,2026-02,peak_pm,0.450000,3318.076439,1493.134398,138,19356.003612,7231.663569,58794.648010,5879.464801,1352.198768
no_vic,2026-02,midday,0.120000,782.015530,93.841864,138,19356.003612,7231.663569,58794.648010,5879.464801,1352.198768
no_vic,2026-02,shoulder,0.370000,14182.634680,5247.574832,138,19356.003612,7231.663569,58794.648010,5879.464801,1352.198768
no_vic,2026-03,peak_am,0.370000,1391.771639,514.955506,138,18391.825666,6720.845459,48694.803976,4869.480398,1851.365061
no_vic,2026-03,peak_pm,0.450000,2694.218245,1212.398210,138,18391.825666,6720.845459,48694.803976,4869.480398,1851.365061
no_vic,2026-03,midday,0.120000,1198.669990,143.840399,138,18391.825666,6720.845459,48694.803976,4869.480398,1851.365061
no_vic,2026-03,shoulder,0.370000,13107.165792,4849.651343,138,18391.825666,6720.845459,48694.803976,4869.480398,1851.365061
no_vic,2026-04,peak_am,0.370000,321.330229,118.892185,136,3255.493813,1196.703408,13619.651663,1361.965166,-165.261758
no_vic,2026-04,peak_pm,0.450000,483.785013,217.703256,136,3255.493813,1196.703408,13619.651663,1361.965166,-165.261758
no_vic,2026-04,midday,0.120000,186.128415,22.335410,136,3255.493813,1196.703408,13619.651663,1361.965166,-165.261758
no_vic,2026-04,shoulder,0.370000,2264.250156,837.772558,136,3255.493813,1196.703408,13619.651663,1361.965166,-165.261758
